sizes,has_similar,child_category,product_id,similar,category,scrapped,sub_category,colours,link,images,name,price,description
,,Tshirts,qbzg9,,Men,False,Top Wear,,/aishani-ensemble-sarees/p/qbzg9,,,,
,,Tshirts,rxwmg,,Men,False,Top Wear,,/abhisarika-fashionable-sarees/p/rxwmg,,,,
,,Tshirts,v17g8,,Men,False,Top Wear,,/adrika-fashionable-sarees/p/v17g8,,,,
,,Tshirts,tv5um,,Men,False,Top Wear,,/charvi-voguish-sarees/p/tv5um,,,,
,,Tshirts,v11xg,,Men,False,Top Wear,,/kashvi-attractive-sarees/p/v11xg,,,,
,,Tshirts,v1bqa,,Men,False,Top Wear,,/abhisarika-drishya-sarees/p/v1bqa,,,,
,,Tshirts,v16sx,,Men,False,Top Wear,,/aakarsha-superior-sarees/p/v16sx,,,,
,,Tshirts,uu3sm,,Men,False,Top Wear,,/alisha-superior-sarees/p/uu3sm,,,,
,,Tshirts,sbco8,,Men,False,Top Wear,,/stylist-satin-saree-with-digitel-print-blouse/p/sbco8,,,,
,,Tshirts,uu3ut,,Men,False,Top Wear,,/abhisarika-graceful-sarees/p/uu3ut,,,,
,,Tshirts,qb8q1,,Men,False,Top Wear,,/satin-saree-with-gold-blousepurple/p/qb8q1,,,,
,,Tshirts,tuebu,,Men,False,Top Wear,,/aagyeyi-ensemble-sarees/p/tuebu,,,,
,,Tshirts,ua6gx,,Men,False,Top Wear,,/laddu-creation-plain-satin-silk-saree/p/ua6gx,,,,
,,Tshirts,v1g9f,,Men,False,Top Wear,,/wet-lacestrip-satin-saree/p/v1g9f,,,,
,,Tshirts,v1hvi,,Men,False,Top Wear,,/aishani-petite-sarees/p/v1hvi,,,,
,,Tshirts,v1hiv,,Men,False,Top Wear,,/alisha-drishya-sarees/p/v1hiv,,,,
,,Top Wear,Men,,,,,,qbzg9,/aishani-ensemble-sarees/p/qbzg9,Tshirts,,False
,,Top Wear,Men,,,,,,rxwmg,/abhisarika-fashionable-sarees/p/rxwmg,Tshirts,,False
,,Top Wear,Men,,,,,,v17g8,/adrika-fashionable-sarees/p/v17g8,Tshirts,,False
,,Top Wear,Men,,,,,,tv5um,/charvi-voguish-sarees/p/tv5um,Tshirts,,False
,,Top Wear,Men,,,,,,v11xg,/kashvi-attractive-sarees/p/v11xg,Tshirts,,False
,,Top Wear,Men,,,,,,v1bqa,/abhisarika-drishya-sarees/p/v1bqa,Tshirts,,False
,,Top Wear,Men,,,,,,v16sx,/aakarsha-superior-sarees/p/v16sx,Tshirts,,False
,,Top Wear,Men,,,,,,uu3sm,/alisha-superior-sarees/p/uu3sm,Tshirts,,False
,,Top Wear,Men,,,,,,sbco8,/stylist-satin-saree-with-digitel-print-blouse/p/sbco8,Tshirts,,False
,,Top Wear,Men,,,,,,uu3ut,/abhisarika-graceful-sarees/p/uu3ut,Tshirts,,False
,,Top Wear,Men,,,,,,qb8q1,/satin-saree-with-gold-blousepurple/p/qb8q1,Tshirts,,False
,,Top Wear,Men,,,,,,tuebu,/aagyeyi-ensemble-sarees/p/tuebu,Tshirts,,False
,,Top Wear,Men,,,,,,ua6gx,/laddu-creation-plain-satin-silk-saree/p/ua6gx,Tshirts,,False
,,Top Wear,Men,,,,,,v1g9f,/wet-lacestrip-satin-saree/p/v1g9f,Tshirts,,False
,,Top Wear,Men,,,,,,v1hvi,/aishani-petite-sarees/p/v1hvi,Tshirts,,False
,,Top Wear,Men,,,,,,v1hiv,/alisha-drishya-sarees/p/v1hiv,Tshirts,,False
qbzg9,,,,,/aishani-ensemble-sarees/p/qbzg9,,Top Wear,,Men,False,Tshirts,,
rxwmg,,,,,/abhisarika-fashionable-sarees/p/rxwmg,,Top Wear,,Men,False,Tshirts,,
v17g8,,,,,/adrika-fashionable-sarees/p/v17g8,,Top Wear,,Men,False,Tshirts,,
tv5um,,,,,/charvi-voguish-sarees/p/tv5um,,Top Wear,,Men,False,Tshirts,,
v11xg,,,,,/kashvi-attractive-sarees/p/v11xg,,Top Wear,,Men,False,Tshirts,,
v1bqa,,,,,/abhisarika-drishya-sarees/p/v1bqa,,Top Wear,,Men,False,Tshirts,,
v16sx,,,,,/aakarsha-superior-sarees/p/v16sx,,Top Wear,,Men,False,Tshirts,,
uu3sm,,,,,/alisha-superior-sarees/p/uu3sm,,Top Wear,,Men,False,Tshirts,,
sbco8,,,,,/stylist-satin-saree-with-digitel-print-blouse/p/sbco8,,Top Wear,,Men,False,Tshirts,,
uu3ut,,,,,/abhisarika-graceful-sarees/p/uu3ut,,Top Wear,,Men,False,Tshirts,,
qb8q1,,,,,/satin-saree-with-gold-blousepurple/p/qb8q1,,Top Wear,,Men,False,Tshirts,,
tuebu,,,,,/aagyeyi-ensemble-sarees/p/tuebu,,Top Wear,,Men,False,Tshirts,,
ua6gx,,,,,/laddu-creation-plain-satin-silk-saree/p/ua6gx,,Top Wear,,Men,False,Tshirts,,
v1g9f,,,,,/wet-lacestrip-satin-saree/p/v1g9f,,Top Wear,,Men,False,Tshirts,,
v1hvi,,,,,/aishani-petite-sarees/p/v1hvi,,Top Wear,,Men,False,Tshirts,,
v1hiv,,,,,/alisha-drishya-sarees/p/v1hiv,,Top Wear,,Men,False,Tshirts,,
,,sf6kw,,,Tshirts,Top Wear,,Men,,,/charvi-pretty-sarees/p/sf6kw,False,
,,qq4i5,,,Tshirts,Top Wear,,Men,,,/heavy-satin-silk-digital-print-saree-with-unsteach-blouse-pcs/p/qq4i5,False,
,,jwpzx,,,Tshirts,Top Wear,,Men,,,/adrika-sensational-sarees/p/jwpzx,False,
,,v3c94,,,Tshirts,Top Wear,,Men,,,/stupendous-multicolor-satin-shading-saree/p/v3c94,False,
,,v49o0,,,Tshirts,Top Wear,,Men,,,/aagam-drishya-sarees/p/v49o0,False,
,,v3rn4,,,Tshirts,Top Wear,,Men,,,/chitrarekha-refined-sarees/p/v3rn4,False,
,,v3smb,,,Tshirts,Top Wear,,Men,,,/myra-refined-sarees/p/v3smb,False,
,,ue29u,,,Tshirts,Top Wear,,Men,,,/kashvi-pretty-sarees/p/ue29u,False,
,,v3zce,,,Tshirts,Top Wear,,Men,,,/grc-enterprises-fancy-satin-silk-saree/p/v3zce,False,
,,v3qq0,,,Tshirts,Top Wear,,Men,,,/greeva-lifestyle-presant-beautiful-linen-satin-saree/p/v3qq0,False,
,,v3qpx,,,Tshirts,Top Wear,,Men,,,/greeva-lifestyle-presant-beautiful-linen-satin-saree/p/v3qpx,False,
,,v3r81,,,Tshirts,Top Wear,,Men,,,/myra-refined-sarees/p/v3r81,False,
,,v3rak,,,Tshirts,Top Wear,,Men,,,/aishani-refined-sarees/p/v3rak,False,
,,v4jd5,,,Tshirts,Top Wear,,Men,,,/trendy-alluring-sarees/p/v4jd5,False,
,,v3v3l,,,Tshirts,Top Wear,,Men,,,/banita-fabulous-sarees/p/v3v3l,False,
,,v3qqk,,,Tshirts,Top Wear,,Men,,,/alisha-refined-sarees/p/v3qqk,False,
